i,j,x_m,y_m,temperature_K
46,6,0.290625,0.065000,304.646966
47,6,0.296875,0.065000,304.432790
48,6,0.303125,0.065000,304.226601
49,6,0.309375,0.065000,304.027950
50,6,0.315625,0.065000,303.836415
51,6,0.321875,0.065000,303.651598
52,6,0.328125,0.065000,303.473123
53,6,0.334375,0.065000,303.300634
54,6,0.340625,0.065000,303.133793
55,6,0.346875,0.065000,302.972281
56,6,0.353125,0.065000,302.815791
57,6,0.359375,0.065000,302.664034
58,6,0.365625,0.065000,302.516730
59,6,0.371875,0.065000,302.373614
60,6,0.378125,0.065000,302.234429
61,6,0.384375,0.065000,302.098931
62,6,0.390625,0.065000,301.966882
63,6,0.396875,0.065000,301.838055
64,6,0.403125,0.065000,301.712229
65,6,0.409375,0.065000,301.589191
66,6,0.415625,0.065000,301.468733
67,6,0.421875,0.065000,301.350654
68,6,0.428125,0.065000,301.234759
69,6,0.434375,0.065000,301.120855
70,6,0.440625,0.065000,301.008757
71,6,0.446875,0.065000,300.898280
72,6,0.453125,0.065000,300.789246
73,6,0.459375,0.065000,300.681477
74,6,0.465625,0.065000,300.574800
75,6,0.471875,0.065000,300.469043
76,6,0.478125,0.065000,300.364036
77,6,0.484375,0.065000,300.259611
78,6,0.490625,0.065000,300.155601
79,6,0.496875,0.065000,300.051839
0,7,0.003125,0.075000,358.342556
1,7,0.009375,0.075000,355.050502
2,7,0.015625,0.075000,351.824866
3,7,0.021875,0.075000,348.703503
4,7,0.028125,0.075000,345.716214
5,7,0.034375,0.075000,342.883914
6,7,0.040625,0.075000,340.219016
7,7,0.046875,0.075000,337.726602
8,7,0.053125,0.075000,335.405933
9,7,0.059375,0.075000,333.251998
10,7,0.065625,0.075000,331.256895
11,7,0.071875,0.075000,329.410967
12,7,0.078125,0.075000,327.703681
13,7,0.084375,0.075000,326.124256
14,7,0.090625,0.075000,324.662105
15,7,0.096875,0.075000,323.307113
16,7,0.103125,0.075000,322.049800
17,7,0.109375,0.075000,320.881407
18,7,0.115625,0.075000,319.793917
19,7,0.121875,0.075000,318.780044
20,7,0.128125,0.075000,317.833205
21,7,0.134375,0.075000,316.947463
22,7,0.140625,0.075000,316.117483
23,7,0.146875,0.075000,315.338472
24,7,0.153125,0.075000,314.606127
25,7,0.159375,0.075000,313.916586
26,7,0.165625,0.075000,313.266376
