iteration,residual_K
602,1.5144997122e-2
603,1.5103537626e-2
604,1.5062209230e-2
605,1.5021011481e-2
606,1.4979943924e-2
607,1.4939006111e-2
608,1.4898197589e-2
609,1.4857517910e-2
610,1.4816966627e-2
611,1.4776543293e-2
612,1.4736247463e-2
613,1.4696078694e-2
614,1.4656036542e-2
615,1.4616120567e-2
616,1.4576330329e-2
617,1.4536665388e-2
618,1.4497125308e-2
619,1.4457709652e-2
620,1.4418417986e-2
621,1.4379249876e-2
622,1.4340204890e-2
623,1.4301282596e-2
624,1.4262482566e-2
625,1.4223804371e-2
626,1.4185247584e-2
627,1.4146811778e-2
628,1.4108496531e-2
629,1.4070301418e-2
630,1.4032226018e-2
631,1.3994269911e-2
632,1.3956432677e-2
633,1.3918713898e-2
634,1.3881113158e-2
635,1.3843630042e-2
636,1.3806264136e-2
637,1.3769015027e-2
638,1.3731882304e-2
639,1.3694865557e-2
640,1.3657964377e-2
641,1.3621793939e-2
642,1.3585770980e-2
643,1.3549856772e-2
644,1.3514050953e-2
645,1.3478353162e-2
646,1.3442763038e-2
647,1.3407280225e-2
648,1.3371904363e-2
649,1.3336635096e-2
650,1.3301472069e-2
651,1.3266414926e-2
652,1.3231463314e-2
653,1.3196616881e-2
654,1.3161875275e-2
655,1.3127238144e-2
656,1.3092705141e-2
657,1.3058275915e-2
658,1.3023950120e-2
659,1.2989727408e-2
660,1.2955607436e-2
661,1.2921589857e-2
662,1.2887674328e-2
663,1.2853860508e-2
664,1.2820148055e-2
665,1.2786536628e-2
666,1.2753025888e-2
667,1.2719615498e-2
668,1.2686305119e-2
669,1.2653094415e-2
670,1.2619983051e-2
671,1.2586970694e-2
672,1.2554057010e-2
673,1.2521241667e-2
674,1.2488524333e-2
675,1.2455904680e-2
676,1.2423382378e-2
677,1.2390957098e-2
678,1.2358628515e-2
679,1.2326396302e-2
680,1.2294260135e-2
681,1.2262219689e-2
682,1.2230274643e-2
683,1.2198424673e-2
684,1.2166669460e-2
685,1.2135008685e-2
686,1.2103442027e-2
687,1.2072470084e-2
688,1.2041598521e-2
689,1.2010815870e-2
690,1.1980121845e-2
